player,team,player_norm,intl_goals,intl_weighted_goals,intl_penalty_goals,intl_major_goals,intl_scoring_matches,intl_last_goal_date,team_intl_matches,intl_goal_rate,intl_goals_per_team_match,assists_total,xa_total,key_passes_total,progressive_passes_total,pass_completion_pct,minutes,xa_per90,key_passes_per90,progressive_passes_per90,playmaker_score,year
Promise David,Canada,promise david,1,1.0,0,1,1,2025-06-17,46,1.0,0.021739130434782608,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Lucas Cavallini,Canada,lucas cavallini,1,1.0,0,1,1,2023-06-27,46,1.0,0.021739130434782608,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Liam Millar,Canada,liam millar,1,1.0,0,1,1,2023-07-04,46,1.0,0.021739130434782608,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Matías Viña,Uruguay,matias vina,1,1.0,0,1,1,2024-06-23,42,1.0,0.023809523809523808,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Lukáš Provod,Czechia,lukas provod,1,1.0,0,1,1,2024-06-18,40,1.0,0.025,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Lisandro Martínez,Argentina,lisandro martinez,1,1.0,0,1,1,2024-07-04,42,1.0,0.023809523809523808,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Dani Carvajal,Spain,dani carvajal,1,1.0,0,1,1,2024-06-15,44,1.0,0.022727272727272728,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Alexis Vega,Mexico,alexis vega,1,1.0,0,1,1,2025-06-28,60,1.0,0.016666666666666666,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Luis Suárez,Uruguay,luis suarez,1,1.0,0,1,1,2024-07-13,42,1.0,0.023809523809523808,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Ramón Sosa,Paraguay,ramon sosa,1,1.0,0,1,1,2024-07-02,36,1.0,0.027777777777777776,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Karim Ansarifard,Iran,karim ansarifard,1,1.0,0,1,1,2024-01-14,42,1.0,0.023809523809523808,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Gaël Kakuta,Congo DR,gael kakuta,2,1.0,1,0,1,2025-12-30,48,2.0,0.041666666666666664,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Jordan Bos,Australia,jordan bos,1,1.0,0,1,1,2024-01-13,41,1.0,0.024390243902439025,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Miguel Borja,Colombia,miguel borja,1,1.0,1,1,1,2024-07-06,45,1.0,0.022222222222222223,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Samet Akaydin,Türkiye,samet akaydin,1,1.0,0,1,1,2024-07-06,42,1.0,0.023809523809523808,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
Michel Aebischer,Switzerland,michel aebischer,1,1.0,0,1,1,2024-06-15,42,1.0,0.023809523809523808,,,,,78.0,,0.15,0.375,0.3,0.132897301933874,2026
